song,genre,genreLabel,performer,performerLabel,publication_date,language_of_work_or_name,language_of_work_or_nameLabel,songLabel
http://www.wikidata.org/entity/Q5063,http://www.wikidata.org/entity/Q83440,country music,http://www.wikidata.org/entity/Q4473,Jennette McCurdy,2010-05-24T00:00:00Z,http://www.wikidata.org/entity/Q1860,English,Not That Far Away
http://www.wikidata.org/entity/Q19977,http://www.wikidata.org/entity/Q856872,rap metal,http://www.wikidata.org/entity/Q261,Linkin Park,2004-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1860,English,Lying from You
http://www.wikidata.org/entity/Q19993,http://www.wikidata.org/entity/Q20378,alternative metal,http://www.wikidata.org/entity/Q261,Linkin Park,2000-10-24T00:00:00Z,http://www.wikidata.org/entity/Q1860,English,Runaway
http://www.wikidata.org/entity/Q19993,http://www.wikidata.org/entity/Q877693,rap rock,http://www.wikidata.org/entity/Q261,Linkin Park,2000-10-24T00:00:00Z,http://www.wikidata.org/entity/Q1860,English,Runaway
http://www.wikidata.org/entity/Q21096,http://www.wikidata.org/entity/Q829147,protest song,http://www.wikidata.org/entity/Q6107,Tupac Shakur,2002-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1860,English,I Don't Give a Fuck
http://www.wikidata.org/entity/Q21100,http://www.wikidata.org/entity/Q11401,hip hop music,http://www.wikidata.org/entity/Q26876,Taylor Swift,2012-05-22T00:00:00Z,http://www.wikidata.org/entity/Q1860,English,Both of Us
http://www.wikidata.org/entity/Q21100,http://www.wikidata.org/entity/Q11401,hip hop music,http://www.wikidata.org/entity/Q45667,B.o.B,2012-05-22T00:00:00Z,http://www.wikidata.org/entity/Q1860,English,Both of Us
http://www.wikidata.org/entity/Q23061,http://www.wikidata.org/entity/Q627906,electro house,http://www.wikidata.org/entity/Q49009,deadmau5,2012-08-14T00:00:00Z,http://www.wikidata.org/entity/Q1860,English,Professional Griefers
http://www.wikidata.org/entity/Q23061,http://www.wikidata.org/entity/Q627906,electro house,http://www.wikidata.org/entity/Q204132,Gerard Way,2012-08-14T00:00:00Z,http://www.wikidata.org/entity/Q1860,English,Professional Griefers
http://www.wikidata.org/entity/Q24506,http://www.wikidata.org/entity/Q217191,soft rock,http://www.wikidata.org/entity/Q862315,Bill Medley,1987-09-01T00:00:00Z,http://www.wikidata.org/entity/Q1860,English,(I've Had) The Time of My Life
