country,population,gdp,countryLabel,continent,continentLabel,lon,lat,coordinate_location,image
http://www.wikidata.org/entity/Q148,1443497378,17820459342451,People's Republic of China,http://www.wikidata.org/entity/Q48,Asia,103.4519444,35.84472222,"103.451944444,35.844722222",http://commons.wikimedia.org/wiki/Special:FilePath/Badaling%20China%20Great-Wall-of-China-01.jpg
http://www.wikidata.org/entity/Q668,1326093247,3150306834280,India,http://www.wikidata.org/entity/Q48,Asia,83,22.8,"83,22.8",http://commons.wikimedia.org/wiki/Special:FilePath/India-0037%20-%20Flickr%20-%20archer10%20%28Dennis%29.jpg
http://www.wikidata.org/entity/Q30,331449281,23315080560000,United States of America,http://www.wikidata.org/entity/Q49,North America,-98.5795,39.828175,"-98.5795,39.828175",http://commons.wikimedia.org/wiki/Special:FilePath/City%20Lights%20of%20the%20United%20States%202012.jpg
http://www.wikidata.org/entity/Q252,275439000,1186505455721,Indonesia,http://www.wikidata.org/entity/Q48,Asia,118,-2,"118,-2",http://commons.wikimedia.org/wiki/Special:FilePath/Peta%20provinsi%20Indonesia.png
http://www.wikidata.org/entity/Q843,223773700,348262544719,Pakistan,http://www.wikidata.org/entity/Q48,Asia,71,30,"71,30",http://commons.wikimedia.org/wiki/Special:FilePath/923554545441%20status%20c52735a8c1de4387883de80bf2b127a5.jpg
http://www.wikidata.org/entity/Q1033,211400708,440833583992,Nigeria,http://www.wikidata.org/entity/Q15,Africa,8,9,"8,9",http://commons.wikimedia.org/wiki/Special:FilePath/The%20City%20Gate%20of%20Abuja.jpg
http://www.wikidata.org/entity/Q155,203062512,1649622972159,Brazil,http://www.wikidata.org/entity/Q18,South America,-53,-14,"-53,-14",http://commons.wikimedia.org/wiki/Special:FilePath/Cidade%20Maravilhosa.jpg
http://www.wikidata.org/entity/Q902,169356251,416264802185,Bangladesh,http://www.wikidata.org/entity/Q48,Asia,89.866667,24.016667,"89.866667,24.016667",http://commons.wikimedia.org/wiki/Special:FilePath/Swamp%20Sylhet.jpg
http://www.wikidata.org/entity/Q159,146804372,1836892075548,Russia,http://www.wikidata.org/entity/Q46,Europe,94.25,66.41666667,"94.25,66.416666666",http://commons.wikimedia.org/wiki/Special:FilePath/Kremlin%20Moscow.jpg
http://www.wikidata.org/entity/Q17,125440000,4231141201863,Japan,http://www.wikidata.org/entity/Q48,Asia,136,35,"136,35",http://commons.wikimedia.org/wiki/Special:FilePath/140405%20Tsu%20Castle%20Tsu%20MIe%20pref%20Japan01s.jpg
http://www.wikidata.org/entity/Q96,124777324,1272838810896,Mexico,http://www.wikidata.org/entity/Q49,North America,-102,23,"-102,23",http://commons.wikimedia.org/wiki/Special:FilePath/Ciudad.de.Mexico.City.Distrito.Federal.DF.Paseo.Reforma.Skyline.jpg
http://www.wikidata.org/entity/Q928,109035343,394087362017,Philippines,http://www.wikidata.org/entity/Q48,Asia,123,12,"123,12",http://commons.wikimedia.org/wiki/Special:FilePath/Big%20lagoon%20entrance%2C%20Miniloc%20island%20-%20panoramio.jpg
http://www.wikidata.org/entity/Q881,96208984,366137590718,Vietnam,http://www.wikidata.org/entity/Q48,Asia,108,16,"108,16",http://commons.wikimedia.org/wiki/Special:FilePath/Hanoi%20Temple%20of%20Literature.jpg
http://www.wikidata.org/entity/Q79,94798827,424671765456,Egypt,http://www.wikidata.org/entity/Q15,Africa,29,27,"29,27",http://commons.wikimedia.org/wiki/Special:FilePath/Egypt%20sat.png
http://www.wikidata.org/entity/Q974,86790567,55350968593,Democratic Republic of the Congo,http://www.wikidata.org/entity/Q15,Africa,23.65611111,-2.88,"23.656111111,-2.88",http://commons.wikimedia.org/wiki/Special:FilePath/DR%20Congo%20-%20collage.jpg
