Sport,Start Date,End Date,Award Dates
Archery,2024-07-25,2024-08-04,"July 28, 29, August 2, 3, 4"
Artistic Gymnastics,2024-07-27,2024-08-05,"July 29, 30, 31, August 1, 3, 4, 5"
Artistic Swimming,2024-08-05,2024-08-10,"August 7, 10"
Athletics,2024-08-01,2024-08-11,During all sessions
Badminton,2024-07-27,2024-08-05,"August 2, 3, 4, 5"
Basketball 3x3,2024-07-30,2024-08-05,August 5
Basketball,2024-07-27,2024-08-11,"August 10, 11"
Beach Volleyball,2024-07-27,2024-08-10,"August 9, 10"
BMX Freestyle,2024-07-30,2024-07-31,July 31
BMX Race,2024-08-01,2024-08-02,August 2
Boxing,2024-07-27,2024-08-10,"August 6, 7, 8, 9, 10"
Breaking,2024-08-09,2024-08-10,All sessions
Canoe Slalom,2024-07-27,2024-08-05,"July 28, 29, 31, August 1, 5"
Diving,2024-07-27,2024-08-10,"July 27, 29, 31, August 2, 6, 8, 9, 10"
Equestrian Sports,2024-07-27,2024-08-06,"July 29, August 2, 3, 4, 6"
Fencing,2024-07-27,2024-08-04,During all sessions
Field Hockey,2024-07-27,2024-08-09,"August 8, 9"
Golf,2024-08-01,2024-08-10,"August 4, 10"
Handball,2024-07-25,2024-08-11,"August 10, 11"
Judo,2024-07-27,2024-08-03,During all sessions
Marathon Swimming,2024-08-08,2024-08-09,During all sessions
Modern Pentathlon,2024-08-08,2024-08-11,"August 10, 11"
Mountain Biking,2024-07-28,2024-07-29,During all sessions
Rhythmic Gymnastics,2024-08-08,2024-08-10,"August 9, 10"
Road Cycling,2024-07-27,2024-08-04,During all sessions
Rowing,2024-07-27,2024-08-03,"July 31, August 1, 2, 3"
Rugby,2024-07-24,2024-07-30,"July 27, 30"
Sailing,2024-07-28,2024-08-08,"August 1, 2, 6, 7, 8"
Shooting,2024-07-27,2024-08-05,During all sessions
Skateboarding,2024-07-27,2024-08-07,During all sessions
Soccer,2024-07-24,2024-08-10,"August 8, 9, 10"
Sport Climbing,2024-08-05,2024-08-10,"August 7, 8, 9, 10"
Sprint Canoeing,2024-08-06,2024-08-10,"August 8, 9, 10"
Surfing,2024-07-27,2024-07-30,July 30
Swimming,2024-07-27,2024-08-04,During all sessions
Table Tennis,2024-07-27,2024-08-10,"July 30, August 3, 4, 9, 10"
Taekwondo,2024-08-07,2024-08-10,During all sessions
Tennis,2024-07-27,2024-08-04,"August 2, 3, 4"
Track Cycling,2024-08-05,2024-08-11,During all sessions
Trampoline,2024-08-02,2024-08-02,August 2
Triathlon,2024-07-30,2024-08-05,During all sessions
Volleyball,2024-07-27,2024-08-11,"August 9, 10, 11"
Water Polo,2024-07-27,2024-08-11,"August 10, 11"
Weightlifting,2024-08-07,2024-08-11,During all sessions
Wheelchair Fencing,2024-09-03,2024-09-07,During all sessions
Wrestling,2024-08-05,2024-08-11,"August 6, 7, 8, 9, 10, 11"
