Drapeaux,rouge,vert,bleu
Afghanistan.png,81,56,36
Albania.png,196,14,21
Algeria.png,150,191,162
American Samoa.png,124,96,135
Andorra.png,166,86,69
Angola.png,120,23,11
Antigua and Barbuda.png,149,56,50
Argentina.png,153,59,63
Armenia.png,123,188,210
Aruba.png,110,143,167
Australia.png,61,40,119
Austria.png,222,98,114
Azerbaijan.png,80,76,84
Bahamas.png,41,116,103
Bahrain.png,229,79,79
Bangladesh.png,60,97,53
Barbados.png,75,71,78
Belarus.png,187,88,46
Belgium.png,160,86,10
Belize.png,85,81,126
Benin.png,134,129,37
Bermuda.png,197,47,65
Bhutan.png,238,170,37
Bolivia.png,156,123,30
Bosnia and Herzegovina.png,100,93,85
Botswana.png,26,107,144
Brazil.png,63,152,83
Brunei Darussalam.png,208,183,60
Bulgaria.png,163,139,119
Burkina Faso.png,125,89,51
Burundi.png,159,137,117
Cambodia.png,115,59,104
Cameroon.png,168,141,36
Canada.png,235,114,114
Cape Verde.png,70,51,117
Cayman Islands.png,81,90,117
Central African Republic.png,150,146,102
Chad.png,162,101,52
Chile.png,202,104,122
Chinese Taipei.png,234,229,235
Colombia.png,182,134,42
Comoros.png,141,142,104
Congo.png,168,137,37
Cook Islands.png,56,38,117
Costa Rica.png,161,112,156
Croatia.png,156,102,134
Cte dIvoire.png,169,177,126
Cuba.png,134,97,139
Cyprus.png,250,248,236
Czech Republic.png,182,112,139
Democratic Republic of the Congo.png,128,146,138
Democratic Republic of Timor-Leste.png,193,19,10
Denmark.png,229,68,75
Djibouti.png,134,179,150
Dominica.png,152,96,123
Dominican Republic.png,84,119,60
Ecuador.png,182,125,45
Egypt.png,158,89,89
El Salvador.png,133,125,117
Equatorial Guinea.png,136,90,72
Eritrea.png,87,137,191
Estonia.png,125,85,93
Eswatini.png,98,114,139
Ethiopia.png,145,120,47
Federated States of Micronesia.png,95,136,191
Fiji.png,61,108,152
Finland.png,153,160,194
France.png,162,93,127
Gabon.png,107,91,93
Gambia.png,90,142,73
Georgia.png,243,162,165
Germany.png,131,114,39
Ghana.png,159,74,5
Great Britain.png,170,93,127
Greece.png,117,177,205
Grenada.png,175,128,35
Guam.png,39,10,91
Guatemala.png,173,206,224
Guinea-Bissau.png,153,147,38
Guinea.png,163,138,37
Guyana.png,118,139,74
Haiti.png,87,138,194
Honduras.png,123,41,84
Hong Kong China.png,225,45,45
Hungary.png,162,126,107
Iceland.png,81,71,132
India.png,163,169,120
Indonesia.png,238,135,139
Iraq.png,151,87,88
Ireland.png,163,157,105
Islamic Republic of Iran.png,174,147,130
Israel.png,165,192,222
Italy.png,168,140,122
Jamaica.png,85,119,21
Japan.png,248,205,207
Jordan.png,109,100,81
Kazakhstan.png,38,135,145
Kenya.png,96,51,37
Kiribati.png,177,93,101
Kosovo.png,59,88,157
Kuwait.png,134,113,96
Kyrgyzstan.png,234,21,39
Lao Peoples Democratic Republic.png,135,46,91
Latvia.png,189,51,51
Lebanon.png,222,128,127
Lesotho.png,96,135,148
Liberia.png,213,117,128
Libya.png,70,42,25
Liechtenstein.png,124,35,72
Lithuania.png,163,134,37
Luxembourg.png,172,134,153
Madagascar.png,161,136,116
Malawi.png,94,55,36
Malaysia.png,186,119,130
Maldives.png,156,67,48
Mali.png,168,135,36
Malta.png,236,136,136
Marshall Islands.png,76,85,145
Mauritania.png,79,107,53
Mauritius.png,125,111,61
Mexico.png,160,131,112
Monaco.png,238,135,139
Mongolia.png,174,88,81
Montenegro.png,217,60,18
Morocco.png,216,19,25
Mozambique.png,141,132,54
Myanmar.png,196,142,46
Namibia.png,101,100,102
Nauru.png,35,33,102
Nepal.png,229,192,203
Netherlands.png,159,104,137
New Zealand.png,53,31,112
Nicaragua.png,88,138,192
Niger.png,168,162,103
Nigeria.png,91,167,124
North Macedonia.png,232,92,18
Norway.png,184,63,86
Oman.png,181,113,97
Pakistan.png,77,123,82
Palau.png,54,145,134
Palestine.png,109,102,83
Panama.png,179,137,164
Papua New Guinea.png,118,27,14
Paraguay.png,156,100,133
Peoples Republic of China.png,222,28,22
Peru.png,233,98,103
Philippines.png,152,72,106
Poland.png,238,135,139
Portugal.png,153,71,46
Puerto Rico.png,200,96,122
Qatar.png,171,74,74
Refugee Olympic Team.png,243,243,241
Republic of Korea.png,215,204,210
Republic of Moldova.png,147,82,53
ROC.png,243,240,243
Romania.png,163,101,52
RPC.png,243,240,243
Rwanda.png,94,168,111
Saint Kitts and Nevis.png,98,68,30
Saint Lucia.png,42,101,144
Samoa.png,187,22,45
San Marino.png,159,180,196
Sao Tome and Principe.png,118,147,48
Saudi Arabia.png,24,86,24
Senegal.png,162,132,39
Serbia.png,173,105,135
Seychelles.png,162,101,75
Sierra Leone.png,118,172,151
Singapore.png,239,145,145
Slovakia.png,175,107,134
Slovenia.png,158,101,136
Solomon Islands.png,48,117,104
Somalia.png,99,139,192
South Africa.png,81,57,50
South Sudan.png,77,88,95
Spain.png,235,113,11
Sri Lanka.png,194,131,13
St Vincent and the Grenadines.png,123,163,59
Sudan.png,122,90,80
Suriname.png,151,126,92
Sweden.png,82,130,116
Switzerland.png,255,33,33
Syrian Arab Republic.png,152,87,88
Tajikistan.png,207,175,142
Thailand.png,158,104,137
Togo.png,144,156,50
Tonga.png,226,45,52
Trinidad and Tobago.png,179,42,42
Tunisia.png,225,45,45
Turkey.png,224,38,38
Turkmenistan.png,28,89,52
Tuvalu.png,60,121,146
Uganda.png,167,105,18
Ukraine.png,131,177,85
United Arab Emirates.png,117,110,94
United Republic of Tanzania.png,37,82,63
United States of America.png,192,107,138
Uruguay.png,163,189,206
Uzbekistan.png,127,170,148
Vanuatu.png,101,70,30
Venezuela.png,157,105,67
Vietnam.png,224,37,21
Virgin Islands British.png,67,56,110
Virgin Islands US.png,228,227,194
Yemen.png,159,90,93
Zambia.png,50,104,47
Zimbabwe.png,156,145,65
